S1 			 S2 		 lr 		 mc 		 MSE 		 epoch 		 work_P[%] 		 PK[%] 
30 		 30 		 0.001 		 0.8 		 0.1496 		 1e+04 		 2.08 		 77.08
50 		 30 		 0.001 		 0.8 		 0.1521 		 1e+04 		 4.17 		 78.13
50 		 50 		 0.001 		 0.8 		 0.1387 		 1e+04 		 6.25 		 78.39
70 		 30 		 0.001 		 0.8 		 0.1423 		 1e+04 		 8.33 		 78.39
70 		 50 		 0.001 		 0.8 		 0.1377 		 1e+04 		 10.4 		 78.26
70 		 70 		 0.001 		 0.8 		 0.2428 		 2e+02 		 12.5 		 65.76
90 		 30 		 0.001 		 0.8 		 0.1241 		 3e+04 		 14.6 		 79.82
90 		 50 		 0.001 		 0.8 		 0.1375 		 2e+04 		 16.7 		 78.78
90 		 70 		 0.001 		 0.8 		 0.1526 		 5e+03 		 18.8 		 77.47
90 		 90 		 0.001 		 0.8 		 0.1438 		 7e+03 		 20.8 		 78.91
