S1 			 S2 		 lr 		 mc 		 MSE 		 epoch 		 work_P[%] 		 PK[%] 
30 		 10 		 0.01 		 0.5 		 0.1667 		 8e+02 		 1.67 		 76.69
30 		 10 		 0.01 		 0.6 		 0.1484 		 8e+03 		 3.33 		 79.3
30 		 10 		 0.01 		 0.7 		 0.1369 		 1e+04 		 5 		 79.43
30 		 10 		 0.01 		 0.8 		 0.1472 		 8e+03 		 6.67 		 78.52
30 		 10 		 0.01 		 0.9 		 0.143 		 8e+03 		 8.33 		 79.56
50 		 10 		 0.01 		 0.5 		 0.153 		 9e+02 		 10 		 77.21
50 		 10 		 0.01 		 0.6 		 0.1277 		 1e+04 		 11.7 		 79.82
50 		 10 		 0.01 		 0.7 		 0.1461 		 3e+03 		 13.3 		 79.04
50 		 10 		 0.01 		 0.8 		 0.1284 		 1e+04 		 15 		 79.17
50 		 10 		 0.01 		 0.9 		 0.1591 		 2e+03 		 16.7 		 75.65
