S1 			 S2 		 lr 		 mc 		 MSE 		 epoch 		 work_P[%] 		 PK[%] 
30 		 10 		 0.01 		 0.6 		 0.1867 		 7e+02 		 1.04 		 70.7
30 		 10 		 0.01 		 0.7 		 0.1428 		 6e+03 		 2.08 		 76.69
30 		 10 		 0.01 		 0.8 		 0.145 		 1e+04 		 3.13 		 78.52
30 		 10 		 0.01 		 0.9 		 0.1387 		 1e+04 		 4.17 		 77.86
30 		 10 		 0.001 		 0.6 		 0.1484 		 3e+04 		 5.21 		 78.13
30 		 10 		 0.001 		 0.7 		 0.1415 		 1e+05 		 6.25 		 78.39
30 		 10 		 0.001 		 0.8 		 0.1472 		 5e+04 		 7.29 		 78.39
30 		 10 		 0.001 		 0.9 		 0.141 		 5e+04 		 8.33 		 79.17
50 		 10 		 0.01 		 0.6 		 0.1442 		 1e+03 		 9.38 		 77.73
50 		 10 		 0.01 		 0.7 		 0.1401 		 3e+03 		 10.4 		 77.21
50 		 10 		 0.01 		 0.8 		 0.1446 		 4e+03 		 11.5 		 77.86
50 		 10 		 0.01 		 0.9 		 0.1331 		 2e+04 		 12.5 		 79.04
50 		 10 		 0.001 		 0.6 		 0.1323 		 8e+04 		 13.5 		 79.82
50 		 10 		 0.001 		 0.7 		 0.1718 		 5e+03 		 14.6 		 74.61
50 		 10 		 0.001 		 0.8 		 0.1393 		 5e+04 		 15.6 		 79.82
50 		 10 		 0.001 		 0.9 		 0.1296 		 8e+04 		 16.7 		 79.82
